MOTH,WILD,WILD,SHUTTLE,WILD
DYE,SHUTTLE,SHUTTLE,KNOT,LINEN
MOTH,LINEN,MOTH,SPARK,DYE
KNOT,MOTH,KNOT,MOTH,WILD
KNOT,SPARK,KNOT,SHUTTLE,KNOT
CROWN,DYE,SHUTTLE,KNOT,DYE
KNOT,WILD,SHUTTLE,DYE,SHUTTLE
SPARK,MOTH,SPARK,LINEN,MOTH
DYE,KNOT,DYE,SHUTTLE,WILD
LINEN,LINEN,DYE,KNOT,KNOT
CROWN,KNOT,KNOT,WILD,LINEN
DYE,LINEN,CROWN,SHUTTLE,KNOT
SHUTTLE,CROWN,DYE,CROWN,SHUTTLE
LINEN,SHUTTLE,LINEN,DYE,LINEN
DYE,KNOT,WILD,LINEN,SHUTTLE
KNOT,CROWN,SPARK,LINEN,MOTH
SHUTTLE,KNOT,KNOT,KNOT,SPARK
KNOT,CROWN,MOTH,WILD,KNOT
SHUTTLE,MOTH,DYE,MOTH,SHUTTLE
KNOT,DYE,KNOT,DYE,DYE
KNOT,SHUTTLE,KNOT,KNOT,SHUTTLE
MOTH,DYE,LINEN,CROWN,KNOT
LINEN,LINEN,DYE,DYE,SHUTTLE
LINEN,KNOT,LINEN,MOTH,KNOT
DYE,LINEN,KNOT,CROWN,DYE
SPARK,LINEN,CROWN,LINEN,KNOT
KNOT,KNOT,CROWN,DYE,CROWN
DYE,SHUTTLE,LINEN,KNOT,LINEN
CROWN,MOTH,MOTH,MOTH,SPARK
MOTH,WILD,DYE,MOTH,KNOT
KNOT,LINEN,WILD,SPARK,CROWN
KNOT,KNOT,KNOT,SHUTTLE,WILD
LINEN,DYE,LINEN,KNOT,LINEN
LINEN,SHUTTLE,KNOT,WILD,MOTH
SHUTTLE,WILD,SHUTTLE,KNOT,DYE
LINEN,DYE,LINEN,LINEN,CROWN
KNOT,KNOT,WILD,WILD,DYE
LINEN,DYE,MOTH,LINEN,KNOT
SHUTTLE,SPARK,SHUTTLE,DYE,MOTH
KNOT,KNOT,CROWN,KNOT,LINEN
