KNOT,LINEN,DYE,DYE,LINEN
LINEN,LINEN,LINEN,LINEN,DYE
KNOT,SPARK,MOTH,SHUTTLE,KNOT
MOTH,DYE,DYE,MOTH,SHUTTLE
SHUTTLE,KNOT,KNOT,CROWN,KNOT
DYE,SHUTTLE,SHUTTLE,KNOT,LINEN
LINEN,KNOT,KNOT,CROWN,LINEN
MOTH,CROWN,KNOT,KNOT,SHUTTLE
LINEN,MOTH,CROWN,KNOT,KNOT
SHUTTLE,LINEN,CROWN,SHUTTLE,MOTH
LINEN,DYE,KNOT,LINEN,KNOT
LINEN,LINEN,KNOT,LINEN,DYE
SHUTTLE,KNOT,SHUTTLE,KNOT,SHUTTLE
CROWN,DYE,LINEN,KNOT,LINEN
KNOT,WILD,MOTH,MOTH,SPARK
KNOT,DYE,SHUTTLE,LINEN,WILD
MOTH,MOTH,WILD,LINEN,LINEN
KNOT,LINEN,LINEN,SHUTTLE,SHUTTLE
LINEN,MOTH,KNOT,MOTH,CROWN
LINEN,KNOT,KNOT,DYE,KNOT
SHUTTLE,CROWN,LINEN,KNOT,SHUTTLE
KNOT,KNOT,DYE,LINEN,KNOT
MOTH,LINEN,DYE,DYE,KNOT
DYE,KNOT,MOTH,KNOT,CROWN
KNOT,CROWN,LINEN,WILD,KNOT
DYE,DYE,SHUTTLE,MOTH,SHUTTLE
KNOT,WILD,KNOT,DYE,DYE
DYE,LINEN,DYE,KNOT,MOTH
CROWN,LINEN,CROWN,SHUTTLE,LINEN
SHUTTLE,KNOT,KNOT,LINEN,LINEN
SPARK,SHUTTLE,LINEN,SPARK,DYE
KNOT,DYE,SPARK,MOTH,WILD
KNOT,KNOT,SHUTTLE,CROWN,KNOT
DYE,KNOT,LINEN,SHUTTLE,DYE
KNOT,MOTH,DYE,KNOT,MOTH
DYE,SHUTTLE,WILD,DYE,KNOT
KNOT,SHUTTLE,CROWN,WILD,CROWN
KNOT,KNOT,KNOT,KNOT,DYE
CROWN,SHUTTLE,MOTH,DYE,MOTH
LINEN,KNOT,KNOT,KNOT,KNOT
