DYE,MOTH,LINEN,WILD,LINEN
KNOT,CROWN,SPARK,KNOT,WILD
DYE,DYE,KNOT,LINEN,KNOT
DYE,WILD,SHUTTLE,WILD,SPARK
CROWN,DYE,CROWN,SHUTTLE,KNOT
KNOT,DYE,KNOT,LINEN,MOTH
SPARK,WILD,CROWN,WILD,KNOT
SHUTTLE,DYE,KNOT,MOTH,SHUTTLE
SHUTTLE,CROWN,WILD,SHUTTLE,LINEN
SPARK,KNOT,MOTH,SPARK,SHUTTLE
KNOT,DYE,MOTH,LINEN,WILD
LINEN,WILD,WILD,DYE,DYE
KNOT,MOTH,DYE,WILD,LINEN
SHUTTLE,KNOT,KNOT,DYE,WILD
KNOT,SHUTTLE,KNOT,LINEN,DYE
LINEN,WILD,DYE,DYE,SHUTTLE
MOTH,MOTH,MOTH,DYE,WILD
SHUTTLE,MOTH,SHUTTLE,CROWN,LINEN
DYE,KNOT,CROWN,SHUTTLE,SHUTTLE
KNOT,SHUTTLE,WILD,KNOT,CROWN
KNOT,WILD,SHUTTLE,CROWN,CROWN
MOTH,LINEN,LINEN,KNOT,KNOT
CROWN,LINEN,WILD,WILD,DYE
LINEN,WILD,CROWN,SHUTTLE,SPARK
KNOT,SHUTTLE,LINEN,SPARK,DYE
LINEN,KNOT,WILD,WILD,WILD
LINEN,LINEN,DYE,SHUTTLE,KNOT
KNOT,SPARK,MOTH,DYE,MOTH
KNOT,LINEN,SHUTTLE,WILD,WILD
SHUTTLE,KNOT,KNOT,KNOT,MOTH
DYE,SPARK,WILD,MOTH,KNOT
DYE,LINEN,SPARK,WILD,WILD
LINEN,SHUTTLE,LINEN,MOTH,DYE
LINEN,SHUTTLE,DYE,KNOT,CROWN
CROWN,WILD,DYE,KNOT,WILD
KNOT,CROWN,WILD,CROWN,SHUTTLE
KNOT,KNOT,KNOT,KNOT,KNOT
LINEN,DYE,DYE,DYE,MOTH
MOTH,WILD,SHUTTLE,MOTH,SHUTTLE
MOTH,KNOT,WILD,MOTH,DYE
