KNOT,KNOT,LINEN,WILD,WILD
SPARK,KNOT,KNOT,DYE,DYE
KNOT,WILD,MOTH,KNOT,SHUTTLE
SHUTTLE,SPARK,WILD,DYE,LINEN
KNOT,DYE,SHUTTLE,MOTH,MOTH
KNOT,CROWN,DYE,KNOT,MOTH
MOTH,CROWN,MOTH,MOTH,CROWN
MOTH,WILD,SHUTTLE,SHUTTLE,CROWN
LINEN,MOTH,KNOT,LINEN,WILD
DYE,LINEN,MOTH,MOTH,SHUTTLE
CROWN,KNOT,WILD,LINEN,DYE
KNOT,WILD,SPARK,KNOT,MOTH
LINEN,KNOT,CROWN,KNOT,WILD
CROWN,SHUTTLE,WILD,DYE,SHUTTLE
LINEN,CROWN,KNOT,WILD,KNOT
DYE,DYE,LINEN,MOTH,SHUTTLE
KNOT,MOTH,CROWN,DYE,KNOT
DYE,SHUTTLE,WILD,CROWN,WILD
LINEN,LINEN,LINEN,SHUTTLE,KNOT
LINEN,SPARK,SHUTTLE,WILD,DYE
DYE,WILD,LINEN,KNOT,KNOT
SHUTTLE,LINEN,MOTH,CROWN,WILD
LINEN,DYE,WILD,SHUTTLE,CROWN
KNOT,LINEN,KNOT,DYE,SPARK
KNOT,DYE,KNOT,WILD,LINEN
DYE,LINEN,CROWN,KNOT,SHUTTLE
SHUTTLE,SHUTTLE,CROWN,LINEN,DYE
LINEN,SHUTTLE,WILD,SPARK,SHUTTLE
DYE,KNOT,DYE,SHUTTLE,DYE
KNOT,WILD,DYE,MOTH,KNOT
SPARK,KNOT,SPARK,WILD,KNOT
KNOT,SHUTTLE,KNOT,LINEN,LINEN
KNOT,KNOT,SHUTTLE,KNOT,WILD
LINEN,LINEN,DYE,SHUTTLE,SPARK
MOTH,KNOT,KNOT,KNOT,KNOT
SHUTTLE,DYE,DYE,WILD,KNOT
MOTH,DYE,LINEN,DYE,MOTH
SHUTTLE,WILD,KNOT,SPARK,LINEN
CROWN,MOTH,SHUTTLE,CROWN,LINEN
KNOT,MOTH,DYE,LINEN,DYE
